"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"PPanGGOLiN",7,"70%–75%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"80%–85%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"85%–90%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"90%–95%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"95%–100%",28,7106,0.00394033211370673
"PPanGGOLiN",8,"0%–5%",8,7106,0.00112580917534478
"PPanGGOLiN",8,"5%–10%",1,7106,0.000140726146918097
"PPanGGOLiN",8,"25%–30%",1,7106,0.000140726146918097
"PPanGGOLiN",8,"90%–95%",1,7106,0.000140726146918097
"PPanGGOLiN",8,"95%–100%",16,7106,0.00225161835068956
"PPanGGOLiN",9,"0%–5%",7,7106,0.000985083028426682
"PPanGGOLiN",9,"5%–10%",3,7106,0.000422178440754292
"PPanGGOLiN",9,"10%–15%",2,7106,0.000281452293836195
"PPanGGOLiN",9,"30%–35%",1,7106,0.000140726146918097
"PPanGGOLiN",9,"35%–40%",1,7106,0.000140726146918097
"PPanGGOLiN",9,"55%–60%",2,7106,0.000281452293836195
"PPanGGOLiN",9,"70%–75%",2,7106,0.000281452293836195
"PPanGGOLiN",9,"90%–95%",1,7106,0.000140726146918097
"PPanGGOLiN",9,"95%–100%",15,7106,0.00211089220377146
"PPanGGOLiN",10,"0%–5%",5,7106,0.000703630734590487
"PPanGGOLiN",10,"25%–30%",2,7106,0.000281452293836195
"PPanGGOLiN",10,"30%–35%",1,7106,0.000140726146918097
"PPanGGOLiN",10,"85%–90%",1,7106,0.000140726146918097
"PPanGGOLiN",10,"95%–100%",10,7106,0.00140726146918097
"Panaroo",0,"0%–5%",2,8495,0.000235432607416127
"Panaroo",1,"0%–5%",24,8495,0.00282519128899353
"Panaroo",1,"5%–10%",1,8495,0.000117716303708064
"Panaroo",1,"10%–15%",1,8495,0.000117716303708064
"Panaroo",1,"15%–20%",2,8495,0.000235432607416127
"Panaroo",2,"0%–5%",1709,8495,0.201177163037081
"Panaroo",2,"5%–10%",165,8495,0.0194231901118305
